Years,2010,
,,
Row Labels,Sum of Sales,Sum of Profit
Furniture,,
Consumer,,
Delivery Truck,75182.11,250.41
Regular Air,1808.26,331.82
Corporate,,
Delivery Truck,44110.78,2121.32
Express Air,465.52,65.35
Regular Air,9073.26,1585.84
Home Office,,
Delivery Truck,26002.99,-4701.15
Express Air,1143.35,411.10
Regular Air,8665.80,283.73
Small Business,,
Delivery Truck,27475.33,-1981.31
Regular Air,14053.11,-1413.71
Office Supplies,,
Consumer,,
Express Air,1140.75,-189.83
Regular Air,40047.48,7778.50
Corporate,,
Delivery Truck,3752.61,637.93
Express Air,3587.14,535.51
Regular Air,21864.72,464.59
Home Office,,
Delivery Truck,12787.55,335.31
Express Air,29.42,14.43
Regular Air,16307.44,-873.18
Small Business,,
Delivery Truck,321.57,-100.05
Express Air,90.73,-39.64
Regular Air,4805.55,-516.15
Technology,,
Consumer,,
Delivery Truck,20434.38,7180.27
Express Air,6167.41,1284.89
Regular Air,2213.20,-296.43
Corporate,,
Delivery Truck,16221.11,183.71
Express Air,358.42,-275.06
Regular Air,24108.86,2200.17
Home Office,,
Express Air,26253.54,1995.44
Regular Air,45934.70,9650.94
Small Business,,
Delivery Truck,19486.86,6415.37
Express Air,2051.02,483.97
Regular Air,10870.65,696.23
